id,title,studio,performers,performer_count,all_tags,tag_count,content_type,is_vr,width,height,resolution,resolution_tier,bitrate_mbps,duration_min,size_gb,codec,rating,play_count,o_counter,quality_score,processing_tier,recommendation,path,tag_vr,tag_pov,tag_anal,tag_blowjob,tag_creampie,tag_facial,tag_threesome,tag_lesbian,tag_milf,tag_teen,tag_bbc,tag_interracial,tag_bondage,tag_bdsm,tag_solo,tag_masturbation,tag_squirt,tag_big_tits,tag_big_ass,tag_blonde,tag_brunette,tag_redhead,tag_asian,tag_latina,tag_ebony,tag_european
2561,When September Comes,VRHush,September Reign | Mike Mancini,2,8K Available | 180° | Big Tits | Brown Hair | Cowgirl | Cumshot | Fingering | Hardcore | Male - POV | Reverse Cowgirl | Standing Missionary | Tattoos | Virtual Reality,13,VR,True,7680,3840,7680x3840,8K+,43.0,43.7,13.11,hevc,0,0,0,85.0,skip,Already 8K,/data/recovered/recovery/recup_dir.14/f885299672.mp4,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,
2286,Pop That Pussy,VR Bangers,Honey Dipp,1,4K Available | 180° | American | Big Ass | Big Tits | Black | Blowjob | Brown Hair | Close Up | Cowgirl | Creampie | Curvy | DILF (30+) | Dirty Talk | Doggy Style | Face Sitting | Hairless Pussy | Handjob | Latina Woman | Lingerie | Masturbation | Pussy Licking | Reverse Cowgirl | Tattoo | Titty Fuck,25,VR,True,7680,3840,7680x3840,8K+,45.3,57.3,18.11,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/2D/VR Bangers/Pop That Pussy (2021)/Pop That Pussy (2021).mp4,,,,Yes,Yes,,,,,,,,,,,Yes,,Yes,Yes,,,,,Yes,,
2272,,Unknown,,0,,0,VR,True,7680,3840,7680x3840,8K+,45.3,39.9,12.64,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/2D/Unknown/f3785614400/f3785614400.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2270,,Unknown,,0,,0,VR,True,8192,4096,8192x4096,8K+,30.2,53.2,11.22,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/2D/Unknown/f3545849200/f3545849200.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2271,,Unknown,,0,,0,VR,True,7680,3840,7680x3840,8K+,45.3,32.7,10.35,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/2D/Unknown/f3728624328/f3728624328.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2244,,Unknown,,0,,0,VR,True,8192,4096,8192x4096,8K+,30.2,47.6,10.03,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/2D/Unknown/f14121760/f14121760.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2103,,Unknown,,0,VR,1,VR,True,7680,3840,7680x3840,8K+,34.6,37.1,8.96,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/VR/Unknown/VR3D_116/VR3D_116.mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2104,,Unknown,,0,VR,1,VR,True,7680,3840,7680x3840,8K+,38.7,37.1,10.03,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/VR/Unknown/VR3D_117/VR3D_117.mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2105,,Unknown,,0,VR,1,VR,True,8192,4096,8192x4096,8K+,47.8,27.4,9.16,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/VR/Unknown/VR3D_118/VR3D_118.mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2106,,Unknown,,0,VR,1,VR,True,7680,3840,7680x3840,8K+,35.1,48.7,11.95,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/VR/Unknown/VR3D_119/VR3D_119.mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2101,,,,0,Shy | VR,2,VR,True,8000,4000,8000x4000,8K+,30.2,44.7,9.42,hevc,0,1,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/VR/SLR Originals/Shy and Sweet (2023)/Shy and Sweet (2023).mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2102,,POVR Originals,,0,VR,1,VR,True,7200,3600,7200x3600,6K,50.1,43.2,15.12,hevc,0,0,0,85.0,tier2_runpod,6K→8K (RunPod),/data/library/Library/Jellyfin/VR/POVR Originals/Take It From the Bottom (2021)/Take It From the Bottom (2021).mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2061,,,,0,VR,1,VR,True,8000,4000,8000x4000,8K+,30.2,46.5,9.8,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/VR/SLR Originals/Hard Work Pays Off (2023)/Hard Work Pays Off (2023).mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2050,,Unknown,,0,VR,1,VR,True,7680,3840,7680x3840,8K+,44.0,35.4,10.88,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/VR/Unknown/VR3D_026/VR3D_026.mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2052,,VR Conk,,0,VR,1,VR,True,7680,3840,7680x3840,8K+,45.3,38.7,12.26,hevc,0,0,0,85.0,skip,Already 8K,/data/library/Library/Jellyfin/VR/VRConk/African Princess (2021)/African Princess (2021).mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2044,,Unknown,,0,VR,1,VR,True,7200,3600,7200x3600,6K,50.0,39.7,13.88,hevc,0,0,0,85.0,tier2_runpod,6K→8K (RunPod),/data/library/Library/Jellyfin/VR/Unknown/VR3D_020/VR3D_020.mp4,Yes,,,,,,,,,,,,,,,,,,,,,,,,,
2668,The Anatomy of a Scene,WankzVR,Skye Blue | Brad Sterling,2,7K Available | 60 FPS | 180° | Big Dick | Big Tits | Blond Hair | Blowjob | College | Couple | Cowgirl | Cum on Stomach | Doggy Style | Fingering | Hairless Pussy | Hardcore | HD Available | Male - POV | Missionary | Nude | Pussy Fingering | Reverse Cowgirl | Short Skirt | Skinny | Titjob | Twosome | Virtual Reality | White | White Man | White Woman,29,VR,True,7200,3600,7200x3600,6K,46.6,49.3,16.04,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.227/f5352452224.mp4,,Yes,,Yes,,,,,,,,,,,,,,Yes,,,,,,,,
2639,,,,0,,0,VR,True,7168,3584,7168x3584,6K,40.3,50.9,14.33,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3927290096_ftyp.mov,,,,,,,,,,,,,,,,,,,,,,,,,,
2638,,,,0,,0,VR,True,7168,3584,7168x3584,6K,40.3,47.4,13.32,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3873150072.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2632,Funny As F*ck!,VR Bangers,Demi Sutra,1,6K Available | 60 FPS | 180° | Black | Blowjob | Brown Hair | Cowgirl | Cumshot | Doggy Style | Hairless Pussy | Male - POV | Missing Performer (Male) | Natural Tits | Twosome (Straight) | Virtual Reality | White on Black,16,VR,True,6144,3072,6144x3072,6K,30.6,56.3,12.03,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3700687128.mp4,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,
2630,The First Million,VR Bangers,Anya Ivy,1,6K Available | 60 FPS | 180° | Big Ass | Big Dick | Big Tits | Blowjob | Brown Hair | Circumcised | Close Up | Cowgirl | Cum on Body | Cum on Tits | Doggy Style | Facesitting | Glasses | Hairless Genitals | Male - POV | MILF (30+) | Missing Performer (Male) | Natural Tits | Pussy Licking | Reverse Cowgirl | Small Tits | Tattoos | Titjob | Twosome (Straight) | Virtual Reality,28,VR,True,6144,3072,6144x3072,6K,30.8,50.1,10.78,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3653710608.mp4,,Yes,,Yes,,,,,Yes,,,,,,,,,Yes,Yes,,,,,,,
2627,,,,0,,0,VR,True,7168,3584,7168x3584,6K,30.3,50.7,10.74,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3571912568.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2628,Family Psychologist Bella Rolland,RealJamVR,Kira Noir | Bella Rolland,2,3D Available | 4K Available | 5K Available | 6K Available | 7K Available | 60 FPS | 180° | American | Anal Sex | Babes | Big Ass | Black | Blowjob | Brown Hair | Close Up | Cowgirl | Cum Swapping | Cumshot | Doggy Style | Family Roleplay | Glasses | Hardcore | Interracial | Light Brown Skin | Long Hair | Male - POV | Missionary | Navel Piercing | Pornstar | Reverse Cowgirl | Stockings | Threesome | Threesome (BGG) | Trimmed Pussy | Virtual Reality,35,VR,True,7168,3584,7168x3584,6K,30.4,66.9,14.19,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3582539728.mp4,,Yes,Yes,Yes,,,Yes,,,,,Yes,,,,,,,Yes,,,,,,,
2626,,,,0,,0,VR,True,7168,3584,7168x3584,6K,30.3,63.8,13.51,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3527870032.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2620,A Very Special Treatment,VR Bangers,Cecilia Lion,1,6K Available | 60 FPS | 180° | Black | Blowjob | Cowgirl | Cumshot | Facesitting | Hairy Pussy | Male - POV | Missing Performer (Male) | Natural Tits | Skinny | Twosome (Straight) | Virtual Reality | White on Black,16,VR,True,6144,3072,6144x3072,6K,30.6,42.0,8.97,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3339103448.mp4,,Yes,,Yes,,,,,,,,,,,,,,,,,,,,,,
2622,The Harlot's House 2,VR Bangers,Ana Foxxx | Kira Noir | Sam Shock,3,6K Available | 60 FPS | 180° | American | Anal Sex | Black Woman | Blowjob | Brown Hair (Female) | Circumcised | Cowgirl | Doggy Style | Facial | Handjob | Lingerie | Male - POV | Natural Tits | Reverse Cowgirl | Small Tits | Stockings | Threesome (BGG) | Virtual Reality | White on Black,22,VR,True,6144,3072,6144x3072,6K,30.7,64.4,13.81,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3392196856.mp4,,Yes,Yes,Yes,,Yes,Yes,,,,,,,,,,,,,,,,,,,
2619,,,,0,,0,VR,True,7168,3584,7168x3584,6K,40.3,53.7,15.13,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3307383864.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
2617,,,,0,,0,VR,True,7168,3584,7168x3584,6K,40.3,38.4,10.82,hevc,0,0,0,80.0,tier2_runpod,6K→8K (RunPod),/data/recovered/recovery/recup_dir.221/f3256053064.mp4,,,,,,,,,,,,,,,,,,,,,,,,,,
